Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Way of Kings,Brandon Sanderson,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781427220264,audio,read,2024/02/27,2024/05/23,2024/02/27-2024/05/23,1.0,,slow,,,,,,3.5,,,,,Yes,2
The Will of the Many,James Islington,Euan Morton (Narrator),B0BXTL5Y9C,audio,read,2025/03/29,2025/04/16,2025/03/29-2025/04/16,1.0,,,,,,,,5.0,,,,,No,2
A Game of Thrones,George R.R. Martin,,9780553588484,paperback,to-read,2011/07/31,,,0.0,,,,,,,,4.0,,,,,Yes,2
Metal Slinger,Rachel Schneider,,9798324986469,paperback,to-read,2025/02/01,,,0.0,,,,,,,,,,,,,No,2
Blood of Elves,Andrzej Sapkowski,Danusia Stok (Translator),9780316029193,paperback,to-read,2020/01/02,,,0.0,,,,,,,,,,,,,No,2
The Hunger Games,Suzanne Collins,,9780439023481,hardcover,read,2012/03/04,2012/03/20,2012/03/20,1.0,,,,,,,,5.0,,,,,No,2
Mockingjay,Suzanne Collins,,9780439023511,hardcover,read,2012/03/25,2012/03/28,2012/03/28,1.0,,,,,,,,4.0,,,,,No,2
Parable of the Sower,Octavia E. Butler,,9780446675505,paperback,to-read,2022/05/13,,,0.0,,,,,,,,,,,,,No,2
The Clackity,Lora Senf,Alfredo Cáceres (Illustrator),9781665902670,hardcover,to-read,2022/05/05,,,0.0,,,,,,,,,,,,,No,2
The Jasad Heir,Sara Hashem,,9780316477864,paperback,to-read,2023/08/22,,,0.0,,,,,,,,,,,,,No,2
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim (Narrator), Julian Cihi (Narrator)",9781529193626,audio,read,2022/09/11,2023/01/12,2023/01/12,1.0,,,,,,,,4.0,,,,,No,2
The Wisteria Society of Lady Scoundrels,India Holton,,9781405954938,paperback,to-read,2023/04/23,,,0.0,,,,,,,,,,,,,No,2
The Wife Between Us,"Greer Hendricks, Sarah Pekkanen",,9781250130921,hardcover,read,2019/03/18,2019/12/27,2019/12/27,1.0,,,,,,,,4.0,"I could not put this book down during the first part, and then it definitely started to slow down. I was so drawn in and just wanted to know everything! It definitely picked up towards the end, but the twists became more predictable. Honestly, the epilogue was also just a little too much. The book would have ended just fine without it.",,,2019-popsugar-challenge,No,2
"Really Good, Actually",Monica Heisey,Julia Whelan (Narrator),9780063235441,audio,read,2022/12/31,,,1.0,,,,,,,,,,,,dnf,No,2
Shadow of Night,Deborah Harkness,,9780143123620,paperback,read,2019/01/31,2023/04/16,2023/04/16,1.0,,,,,,,,4.0,,,,,No,2
The People We Keep,Allison Larkin,,9781982171292,hardcover,to-read,2023/07/15,,,0.0,,,,,,,,,,,,,No,2
"He Who Fights with Monsters, Book 1",Shirtaloon,"Heath Miller (Narrator), Travis Deverell",B08V3XQ7LK,audio,did-not-finish,2025/09/21,,,0.0,,,,,,,,,,,,,No,2
The Poppy War,R.F. Kuang,,9780062662590,digital,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
The Nightingale,Kristin Hannah,,0312577222,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
Hollow City,Ransom Riggs,,9781594746123,hardcover,to-read,2014/03/13,,,0.0,,,,,,,,,,,,2014,No,2
The Paris Apartment,Lucy Foley,,9780063003057,hardcover,to-read,2023/07/15,,,0.0,,,,,,,,,,,,,No,2
The Guest List,Lucy Foley,,9780008297176,paperback,to-read,2022/12/27,,,0.0,,,,,,,,,,,,,No,2
Verity,Colleen Hoover,,9781408726617,digital,read,2022/05/04,2022/05/06,2022/05/06,1.0,,,,,,,,5.0,,,,,No,2
Happy Place,Emily Henry,,9780593441275,hardcover,read,2022/12/31,2023/06/05,2023/06/05,1.0,,,,,,,,5.0,,,,,No,2
Masters of Death,"Olivie Blake, Olivie Blake",,,,to-read,2023/08/15,,,0.0,,,,,,,,,,,,,No,2
Homicide and Halo-Halo,Mia P. Manansala,,9780593201695,paperback,read,2022/07/31,2022/09/07,2022/09/07,1.0,,,,,,,,3.0,,,,"audio, library",No,2
It Happened One Summer,Tessa Bailey,Charlotte North (Narrator),9780063045675,audio,read,2022/05/17,2025/12/03,2025/12/01-2025/12/03,1.0,,,,,,,,3.75,,,,,No,2
Queen of Shadows,Sarah J. Maas,,9781619636040,hardcover,read,2024/01/07,2024/01/26,2024/01/10-2024/01/26,1.0,"adventurous, challenging, dark, emotional, hopeful",medium,A mix,It's complicated,Yes,Yes,Yes,4.0,,,,,Yes,2
The Ex Hex,Erin Sterling,,9780063027473,paperback,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,2
I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,,9780349014869,paperback,to-read,2020/06/10,,,0.0,,,,,,,,,,,,,No,2
Daisy Darker,Alice Feeney,,9781250843937,hardcover,to-read,2023/01/01,,,0.0,,,,,,,,,,,,,No,2
The Color of Magic,Terry Pratchett,,9780060855925,paperback,to-read,2020/01/16,,,0.0,,,,,,,,,,,,,No,2
Ana María and the Fox,Liana De la Rosa,,9780593440889,paperback,to-read,2023/06/19,,,0.0,,,,,,,,,,,,,No,2
Throne of Glass,Sarah J. Maas,,9781619630345,paperback,read,2022/07/25,2023/08/30,2023/08/30,1.0,,,,,,,,4.0,,,,,No,2
The Kiss Quotient,Helen Hoang,,9780451490803,paperback,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
The Fortunes of Jaded Women,Carolyn Huynh,,9781982188733,hardcover,to-read,2022/08/16,,,0.0,,,,,,,,,,,,,No,2
Truly Devious,Maureen Johnson,Kate Rudd (Narrator),9781538501252,audio,to-read,2019/01/03,,,0.0,,,,,,,,,,,,,No,2
Killing Floor,Lee Child,,9780515141429,paperback,to-read,2020/01/16,,,0.0,,,,,,,,,,,,,No,2
The Teller of Small Fortunes,Julie Leong,,9780593815908,digital,read,2025/11/12,2025/11/22,2025/11/12-2025/11/22,1.0,,,,,,,,3.0,,,,,No,2
"Black Klansman: Race, Hate, and the Undercover Investigation of a Lifetime",Ron Stallworth,,9781250313720,paperback,to-read,2018/12/28,,,0.0,,,,,,,,,,,,,No,2
The Traitor Queen,Danielle L. Jensen,,9780593975213,paperback,read,2025/01/28,2025/01/29,2025/01/28-2025/01/29,1.0,,,,,,,,4.5,,,,,No,2
"A Tyranny of Petticoats: 15 Stories of Belles, Bank Robbers & Other Badass Girls",Jessica Spotswood,"Caroline Tung Richmond, Elizabeth Wein, Andrea Cremer, Marissa Meyer, Robin Talley, J. Anderson Coats, Y.S. Lee, Beth Revis, Marie Lu, Katherine Longshore, Lindsay Smith, Leslye Walton, Saundra Mitchell, Kekla Magoon",9780763678487,hardcover,to-read,2020/01/04,,,0.0,,,,,,,,,,,,,No,2
The Four Winds,Kristin Hannah,,9781250178619,paperback,to-read,2024/01/02,,,0.0,,,,,,,,,,,,,No,2
Before I Let Go,Kennedy Ryan,,9781538706817,digital,read,2024/06/27,2024/06/28,2024/06/27-2024/06/28,1.0,"emotional, hopeful, reflective",medium,Character,Yes,,,Yes,5.0,,,,,No,2
Harry Potter and the Order of the Phoenix,J.K. Rowling,Stephen Fry (Narrator),9781855496644,audio,read,2015/02/05,,,1.0,,,,,,,,,,,,,No,2
The Codebreaker's Secret,Sara Ackerman,,9780778386452,paperback,to-read,2022/08/25,,,0.0,,,,,,,,,,,,,No,2
The Women,Kristin Hannah,,9781250178657,digital,read,2025/03/30,2025/04/14,2025/03/30-2025/04/14,1.0,,,,,,,,3.75,,,,,No,2
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,9781398515697,paperback,read,2019/12/28,2023/02/28,2023/02/28,2.0,,,,,,,,5.0,,,,library,No,2
Twelve,Jennifer Lynn Barnes,,B075573YK6,digital,read,2024/10/15,2024/10/15,2024/10/15-2024/10/15,1.0,,,,,,,,3.0,,,,,No,2
Funny Story,Emily Henry,,9780593441282,hardcover,to-read,2024/01/19,,,0.0,,,,,,,,,,,,,No,2
The New ABS Diet for Women: The Six-Week Plan to Flatten Your Stomach and Keep You Lean for Life,David Zinczenko,,9781609613846,paperback,read,2015/02/12,2014/01/01,2014/01/01,1.0,,,,,,,,,,,,,No,2
Water for Elephants,Sara Gruen,,9781565125605,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
"Coffee, Shopping, Murder, Love",Carlos Allende,,9781636280356,paperback,to-read,2022/04/12,,,0.0,,,,,,,,,,,,,No,2
Pushout: The Criminalization of Black Girls in Schools,Monique W. Morris,,9781620973424,paperback,read,2022/01/16,2022/03/30,2022/03/30,1.0,,,,,,,,5.0,,,,,No,2
Crossed,Ally Condie,,9780525423652,hardcover,read,2012/03/04,2012/04/10,2012/04/10,1.0,,,,,,,,3.0,not nearly as good as the first book.,,,,No,2
Reckless Girls,Rachel Hawkins,,9781250274250,hardcover,to-read,2023/06/25,,,0.0,,,,,,,,,,,,,No,2
These Violent Delights,Chloe Gong,,9781534457713,digital,to-read,2024/01/05,,,0.0,,,,,,,,,,,,,No,2
Culturally Responsive Teaching and the Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Zaretta L. Hammond,,9781483308012,paperback,read,2021/02/01,2021/06/11,2021/06/11,1.0,,,,,,,,,,,,,No,2
The Inheritance Games,Jennifer Lynn Barnes,Christie Moreau (Narrator),9781549160462,audio,read,2022/05/08,2023/07/20,2023/07/20,1.0,,,,,,,,3.0,,,,,No,2
Juniper & Thorn,Ava Reid,,9780062973160,hardcover,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
A Tale of Two Cities,Charles Dickens,Richard Maxwell (Contributor),9780141439600,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
Book Lovers,Emily Henry,,9780593334843,digital,read,2022/09/07,2022/09/23,2022/09/23,1.0,,,,,,,,5.0,,,,,No,2
Beartown,Fredrik Backman,,,paperback,to-read,2024/01/07,,,0.0,,,,,,,,,,,,,No,2
A Witch's Guide to Magical Innkeeping,Sangu Mandanna,,9780593439388,digital,to-read,2023/09/29,,,0.0,,,,,,,,,,,,,No,2
Her Hidden Fire,Cliodhna O'Sullivan,,9798217040506,paperback,to-read,2025/10/01,,,0.0,,,,,,,,,,,,,No,2
