isbn,title,authors,publish_date,num_of_pages,genre
9780553588484,A Game of Thrones,OL234664A,"August 16, 2005",835.0,"fiction, fantasy"
9798324986469,Metal Slinger,,,,
9780316029193,Blood of elves,OL368638A,2009,409.0,"horror, fiction, science fiction, fantasy"
9780439023481,The Hunger Games,,2008-10,374.0,"fantasy, fiction, adventure, dystopia fiction, young adult, science fiction"
9780439023511,Mockingjay,,2010,390.0,"fiction, adventure, dystopia fiction, young adult, science fiction"
9780446675505,Parable of the Sower,OL30802A,2000,345.0,fiction
9781665902670,Clackity,OL10032859A,2022,,
9780316477864,The Jasad Heir,OL10840790A,2023,,romance
9781529193626,"Tomorrow, and Tomorrow, and Tomorrow",,2022,,fiction
9781405954938,Wisteria Society of Lady Scoundrels,OL9247867A,2022,,
9781250130921,The Wife Between Us,"OL7532906A, OL6623165A","Jan 09, 2018",352.0,"fiction, thriller"
9780143123620,Shadow of Night,OL236272A,2013,592.0,"history, horror, fiction, fantasy"
9781982171292,The People We Keep,OL9297048A,"Aug 03, 2021",368.0,
9780062662590,The Poppy War,,"May 1, 2018",544.0,"history, fiction, fantasy"
0312577222,The Nightingale,,2015,,"history, fiction, romance"
9781594746123,Hollow City,,July 12 2014,,"history, fantasy, fiction, horror, young adult, science fiction"
9780063003057,Paris Apartment,OL4565050A,2022,,"fiction, mystery, thriller"
9780008297176,Guest List,OL4565050A,2020,384.0,"fiction, thriller"
9780593441275,Happy Place,OL7410858A,"Apr 25, 2023",400.0,fiction
9780593201695,Homicide and Halo-Halo,OL9157597A,2022,336.0,
9781619636040,Queen of Shadows,OL7115219A,2015,656.0,"fiction, fantasy"
9780063027473,The Ex Hex,OL9583293A,"Sep 28, 2021",320.0,
9780349014869,I'm Still Here,OL7537069A,2020,192.0,"history, fiction, non-fiction"
9781250843937,Daisy Darker,OL7458898A,2022,,"fiction, thriller"
9780060855925,The color of magic,OL25712A,2005,224.0,fiction
9780593440889,Ana María and the Fox,OL8359088A,2023,,
9781619630345,Throne of Glass,,2013,428.0,"fiction, adventure, fantasy, young adult, romance"
9780451490803,The kiss quotient,OL7536754A,2018,317.0,fiction
9781982188733,Fortunes of Jaded Women,OL10192596A,2022,,
9781538501252,Truly Devious,OL7459363A,"Jan 16, 2018",1.0,"fiction, mystery"
9780515141429,Killing Floor,OL34328A,1998,432.0,"fiction, mystery, thriller"
9781250313720,Black Klansman,OL7535995A,"Jul 31, 2018",224.0,"history, fiction, mystery, non-fiction"
9780593975213,The Traitor Queen,OL7404866A,"November 12, 2024",416.0,"fiction, fantasy"
9780763678487,A tyranny of petticoats,OL7000384A,2016,354.0,"fiction, adventure"
9781250178619,Four Winds,OL30522A,2023,480.0,"history, fiction"
9781538706817,Before I Let Go,OL7923638A,2022-11,400.0,"fiction, romance"
9781855496644,"Andego Back Posture Corrector Clavicle Support Brace for Women & Men Designed for Your Upper Back, Helps to Improve Posture, Prevent Slouching and Upper Back Pain Relief",,,,
9780778386452,Codebreaker's Secret,OL8162195A,2022,,
9781250178657,The Women,OL30522A,2024,464.0,"history, fiction"
9781398515697,Seven Husbands of Evelyn Hugo,OL7290222A,2021,,"fiction, romance, non-fiction"
9780593441282,Funny Story,OL7410858A,2024,400.0,
9781609613846,New Abs Diet for Women,"OL1430175A, OL2874439A",2018,416.0,
9781565125605,Water for Elephants,OL1424304A,"April 9, 2007",350.0,"history, fiction, romance"
9781636280356,"Coffee, Shopping, Murder, Love",OL4236718A,2022,312.0,
9781620973424,Pushout,OL7641012A,"Jan 16, 2018",304.0,
9780525423652,"Crossed (Matched Trilogy, Book 2)",,2011,367.0,"fantasy, fiction, adventure, dystopia fiction, romance"
9781250274250,Reckless Girls,OL6789830A,"Jan 04, 2022",320.0,fiction
9781534457713,These Violent Delights,,2020,470.0,"history, fiction, young adult, fantasy"
9781483308012,Culturally responsive teaching and the brain,OL7512171A,2015,173.0,
9780062973160,Juniper and Thorn,OL9111005A,2022,,
9780141439600,A Tale of Two Cities,,2003,,"history, fiction"
9780593334843,Book Lovers,OL7410858A,2022,,"fiction, romance"
9780593439388,A Witch's Guide to Magical Innkeeping,,"July 15, 2025",336.0,
9781534454385,The Witch Haven,OL9350537A,"Aug 31, 2021",448.0,fiction
9780593500781,When in Rome,OL2905258A,2022,320.0,
9780525951278,This is Where I Leave You,,2009,339.0,fiction
9780062422644,Allegedly,OL7535844A,2017,387.0,fiction
9780316204279,"Where'd You Go, Bernadette",,2012,330.0,fiction
9780691159270,Running Randomized Evaluations,,2013,480.0,"history, adventure"
9780525563761,Crazy Rich Asians (Movie Tie-In Edition),OL3279480A,2018,,fiction
9780525555360,Turtles All the Way Down,,2017,286.0,"fiction, young adult"
9781400052172,The Immortal life of Henrietta Lacks,OL6720423A,2010,369.0,"history, non-fiction"
9781491946008,Fluent Python,OL7584543A,"Aug 20, 2015",792.0,
9780525541905,Such a Fun Age,,2019,,fiction
9780316015844,Twilight,,2006-09,544.0,"fantasy, fiction, adventure, horror, young adult, romance, science fiction"
9781525830426,Moonlight Healers,OL234580A,2025,336.0,
9780593359235,Hide,OL6789194A,2022,,
9781524746094,The Girl with the Louding Voice,OL7822214A,"Jan 26, 2021",384.0,fiction
9780804172066,China Rich Girlfriend,,2015,,fiction
9781501171345,The Last Thing He Told Me,OL2660286A,"May 04, 2021",320.0,"fiction, thriller"
9781250832061,King of ashes,,2025,340.0,
9781638931737,Butcher & Blackbird,,"December 12, 2023",351.0,fiction
9781250825926,Blood Debts,OL10409730A,2023,,
9781250170972,Children of Blood and Bone,OL7511248A,"March 6, 2018",544.0,"fiction, young adult, science fiction, fantasy"
9781250624161,Ten Rules for Faking It,OL7998871A,"Jan 05, 2021",384.0,"fiction, romance"
9780446561761,The defining decade,OL2675708A,2012,,
9780525707981,One of Us Is Next,OL7399550A,2020,,"fiction, young adult, mystery, thriller"
9781984806116,Undercover bromance,,2020,,
9781524743468,Absolutely Remarkable Thing,OL7508258A,2019,352.0,"fiction, science fiction, adventure, fantasy"
9781984899668,The Handmaid's Tale,,2019,315.0,"history, fantasy, fiction, dystopia fiction, science fiction"
9781984801258,Untamed,,2020-03-20,333.0,"fiction, non-fiction"
9780063020207,Meet Me in Another Life,OL8925294A,"Apr 27, 2021",288.0,
9780062870674,The tattooist of Auschwitz,OL7538938A,2018,262.0,fiction
9781580056779,So you want to talk about race,OL7512498A,2018,248.0,history
9780553496642,"Everything, Everything",,2015,,"fiction, young adult, romance"
9781534478862,The Do-Over,OL3752315A,"Dec 06, 2022",400.0,
9781250765352,A Spindle Splintered,OL7617622A,"Oct 05, 2021",128.0,
9780345539786,Red Rising,,2014,416.0,"fantasy, fiction, adventure, dystopia fiction, young adult, science fiction"
9780867093551,My trouble is my English,OL590008A,1995,230.0,
9780063251991,Demon Copperhead,OL221083A,2022-10,,fiction
9780385521314,Say Nothing,OL6511583A,"Feb 26, 2019",464.0,"history, fiction, mystery"
9781250078407,If I Was Your Girl,,2016,,"fiction, young adult, romance"
9780785231073,Meet Me in the Margins,OL7821719A,2022,336.0,
9780525573845,Foundryside,OL6586893A,"May 21, 2019",512.0,"fiction, fantasy"
9781911231233,I'm Thinking of Ending Things,OL3393824A,2019,208.0,"fiction, thriller"
9780593527702,House of Marionne,OL6287190A,2023,432.0,
9780618871711,Fun Home,OL219850A,2007,232.0,"history, fiction, non-fiction"
9781416524724,The Girlfriends' Guide to Pregnancy,OL238344A,"January 9, 2007",288.0,
9780063021426,Babel : Or the Necessity of Violence,OL7486601A,"Aug 23, 2022",560.0,"history, fiction, fantasy"
9781954118317,A Heart That Works,OL7321793A,"Nov 29, 2022",196.0,fiction
9780062024039,Divergent,,2012,487.0,"non-fiction, fiction, dystopia fiction, young adult, romance, science fiction"
9781984801814,The Guernsey Literary and Potato Peel Pie Society,"OL3379576A, OL1429574A",2018,304.0,"history, fiction, romance"
9781250244499,One Last Stop,OL7620131A,"Jun 01, 2021",432.0,"fiction, romance"
9780062942937,The Love Songs of W.E.B. Du Bois,OL1482336A,"May 04, 2021",464.0,"history, fiction"
9780593128480,A Deadly Education,OL1434553A,"Sep 29, 2020",336.0,"fiction, fantasy"
9780316540841,All In,OL2678446A,2023,400.0,"fiction, mystery"
9780747581086,Harry Potter and the Half-blood Prince,OL23919A,2005,607.0,"fiction, mystery, adventure, fantasy"
1984822187,Normal People,OL7919580A,"Feb 18, 2020",272.0,"fiction, romance"
9781611762662,The Book of Life,"OL9322338A, OL9108236A","Jul 15, 2014",,fiction
9780770437855,The Dinner,OL348049A,2013,292.0,fiction
9781573227162,Caucasia,OL394420A,"February 1, 1999",432.0,fiction
9781649377159,Onyx Storm (Standard Edition),OL7825177A,2025,527.0,"fiction, young adult, romance, fantasy"
9780141924403,The Lightning Thief,,2009,,"fantasy, fiction, adventure, horror, young adult, science fiction"
9781432883515,The Invisible Life of Addie Larue,OL6979295A,"Oct 28, 2020",,"history, fiction, science fiction, fantasy"
9781635575613,A Court of Frost and Starlight,OL7115219A,"Jun 02, 2020",240.0,"fiction, young adult, romance, fantasy"
9781527225336,"Heartstopper, Volume 1",OL7614645A,2018,283.0,romance
9781250282521,Maame,OL10377317A,2023,,fiction
9781427280633,Arcanum Unbounded,,2016-11-22,,"fiction, fantasy"
9781406395310,The House at the Edge of Magic,OL7319406A,"Jan 07, 2021",,
9781250376299,Hazelthorn,OL7822370A,"Oct 28, 2025",368.0,"fantasy, fiction, mystery, horror, young adult"
9780316534635,So Let Them Burn,OL13511720A,"January 16, 2024",400.0,fiction
9780142419779,Matched,,2011,,"fantasy, fiction, adventure, dystopia fiction, young adult, romance"
9781432886974,Local Woman Missing,OL7290097A,"May 26, 2021",,
9781649375803,Assistant to the Villain,OL12581239A,"Sep 05, 2023",352.0,"fiction, romance, mystery, fantasy"
9780062424105,Romancing Mister Bridgerton,OL40776A,2015,,"history, fiction, romance"
9781511828185,Siddhartha,OL7712297A,2015,128.0,
9781777880729,City of Gods and Monsters,OL10501697A,"Jan 24, 2022",760.0,
9781423168324,Killer instinct,OL1425959A,2014,375.0,"fiction, mystery"
9780063031302,Daughter of the Moon Goddess,OL9758563A,11 January 2022,512.0,
9781569317785,Battle Royale,OL3065208A,"February 26, 2003",624.0,"fiction, science fiction, thriller"
9780375866593,The twelve days of Dash and Lily,OL1391244A,2010,260.0,fiction
9781250800466,Uncomfortable Conversations with a Black Man,OL8034097A,"Nov 10, 2020",244.0,
9780316368766,Stardust Thief,OL9583662A,2022,,"history, fiction, adventure, fantasy"
9781501180989,The Outsider,OL19981A,2018,576.0,"fantasy, fiction, thriller, mystery, horror"
9780062367686,A Good Marriage,OL7290595A,"May 05, 2020",400.0,"fiction, mystery"
9781250177957,"Check, Please!",OL7540215A,2018-09-18,288.0,"fiction, young adult, romance"
9781101971062,Homegoing,,2017-04,305.0,"history, fiction"
9780141439563,Great Expectations,,/1993,514.0,"history, fiction"
9781743534922,Nine Perfect Strangers,OL1436339A,"Jul 14, 2018",,"fiction, thriller"
9780063258020,Lego,OL6371151A,2022,,
9780812994520,Just Mercy,OL7399686A,2014,336.0,non-fiction
9780316418416,The Bone Houses,,2019,338.0,fiction
B09GD882BQ,The Gate of the Feral Gods,,2021-09-16,,fantasy
9781423168232,The Naturals,,2013,308.0,"fiction, mystery, thriller"
9781250785565,Beautiful Ones,OL7481396A,"Apr 27, 2021",304.0,"fiction, romance"
9780060786502,The Poisonwood Bible,OL221083A,"May 31, 2005",576.0,"history, fiction"
9780606107082,Joy Luck Club,"OL10148825A, OL8307895A",2006,,fiction
9780998461946,Daughter of No Worlds,OL9077479A,"Jan 08, 2020",520.0,"fiction, romance, fantasy"
9780735220683,Eleanor Oliphant Is Completely Fine: A Novel,OL7414871A,"May 09, 2017",336.0,"fiction, romance"
9781524745141,Lock Every Door,,2019,,"fiction, mystery, thriller"
9780593547465,Raiders of the Lost Heart,OL12999161A,2023,,"fiction, romance, adventure"
9780552998765,Tales of the City,OL336072A,2000,272.0,fiction
9780593296677,The Sanatorium,,2021,450.0,
9780593336854,Love on the Brain,OL9096427A,2022,,"fiction, romance"
9781549304002,Gender Queer,"OL7644866A, OL7644866A",2019,240.0,
9780755381173,Discovery of Witches,OL9322338A,2011,,"fiction, romance, horror"
9780316075633,New Moon,OL1391085A,2009,576.0,"fiction, romance, science fiction, fantasy"
9780765376459,A Darker Shade of Magic,OL6979295A,2017-10,430.0,"history, fiction, adventure, fantasy, young adult, romance, science fiction"
9780553582024,A feast for crows,OL234664A,2006,1053.0,"fiction, adventure, fantasy, young adult, science fiction"
9781682634929,Absinthe Underground,OL7883500A,2024,,fiction
9780316323703,Rebecca,OL34047A,2013,,"fiction, romance, thriller"
9781449483135,Milk and Honey,OL7362769A,2016,,"fiction, romance"
9780062876812,Divergent Mind,OL7977140A,2020,256.0,
9780593403969,Dark and Shallow Lies,OL9124108A,"Aug 31, 2021",384.0,fiction
9780593724774,Black Bird Oracle,OL9322338A,2024,,fiction
9780593158067,Family Game,OL7537205A,2022,,
9780316160209,Eclipse,,2007,,"fiction, young adult, romance, horror"
9781616201340,An American Marriage,OL1389653A,2018,320.0,fiction
9781491957660,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",OL7309633A,"Oct 20, 2017",550.0,
9781632157096,"Monstress, Vol. 1",OL1452307A,2016,202.0,
9781405293181,A Good Girl's Guide to Murder,,May 2 2019,400.0,"fiction, young adult, mystery, thriller"
9781250315328,A Song Below Water,OL7481991A,"Jun 02, 2020",288.0,
9781503904781,True Places,OL3095894A,"Jan 01, 2019",347.0,
9780593500194,Emily Wilde's Map of the Otherlands,,2024,,fiction
9780394541556,Maus: a Survivors Tale,OL250856A,November 1991,159.0,"history, fiction, non-fiction, horror"
9781594633669,The Girl On the Train,,2015,323.0,"fiction, mystery, thriller"
9780593336861,"Love, Theoretically",OL9096427A,2023,400.0,"fiction, romance"
